"Date","Price","Open","High","Low","Change %"
"Oct 13, 2020","1.2934","1.3064","1.3074","1.2922","-1.00%"
"Oct 12, 2020","1.3064","1.3028","1.3084","1.3004","0.14%"
"Oct 09, 2020","1.3046","1.2935","1.3051","1.2920","0.87%"
"Oct 08, 2020","1.2933","1.2919","1.2972","1.2890","0.12%"
"Oct 07, 2020","1.2918","1.2886","1.2931","1.2845","0.32%"
"Oct 06, 2020","1.2877","1.2978","1.3008","1.2866","-0.77%"
"Oct 05, 2020","1.2977","1.2933","1.2991","1.2899","0.36%"
"Oct 02, 2020","1.2931","1.2893","1.2955","1.2837","0.33%"
"Oct 01, 2020","1.2889","1.2919","1.2980","1.2818","-0.21%"
"Sep 30, 2020","1.2916","1.2864","1.2944","1.2806","0.43%"
"Sep 29, 2020","1.2861","1.2836","1.2903","1.2822","0.27%"
"Sep 28, 2020","1.2827","1.2747","1.2927","1.2744","0.64%"
"Sep 25, 2020","1.2745","1.2754","1.2806","1.2687","-0.03%"
"Sep 24, 2020","1.2749","1.2724","1.2782","1.2689","0.21%"
"Sep 23, 2020","1.2722","1.2733","1.2778","1.2674","-0.07%"
"Sep 22, 2020","1.2731","1.2812","1.2868","1.2710","-0.65%"
"Sep 21, 2020","1.2814","1.2924","1.2967","1.2774","-0.78%"
"Sep 18, 2020","1.2915","1.2973","1.3001","1.2915","-0.44%"
"Sep 17, 2020","1.2972","1.2966","1.3000","1.2865","0.05%"
"Sep 16, 2020","1.2965","1.2889","1.3008","1.2874","0.61%"
"Sep 15, 2020","1.2886","1.2841","1.2927","1.2815","0.33%"
"Sep 14, 2020","1.2844","1.2803","1.2920","1.2775","0.40%"
"Sep 11, 2020","1.2793","1.2800","1.2866","1.2763","-0.08%"
"Sep 10, 2020","1.2803","1.3003","1.3036","1.2773","-1.52%"
"Sep 09, 2020","1.3000","1.2981","1.3024","1.2884","0.10%"
"Sep 08, 2020","1.2987","1.3170","1.3180","1.2980","-1.36%"
"Sep 07, 2020","1.3166","1.3274","1.3285","1.3140","-0.87%"
"Sep 04, 2020","1.3282","1.3282","1.3320","1.3175","0.02%"
"Sep 03, 2020","1.3280","1.3349","1.3358","1.3242","-0.54%"
"Sep 02, 2020","1.3352","1.3383","1.3404","1.3283","-0.22%"
"Sep 01, 2020","1.3381","1.3367","1.3484","1.3355","0.09%"
