"Date","Price","Open","High","Low","Change %"
"Sep 17, 2008","7.7791","7.7771","7.7872","7.7745","0.03%"
"Sep 16, 2008","7.7764","7.7899","7.7958","7.7725","-0.18%"
"Sep 15, 2008","7.7903","7.7965","7.7990","7.7829","-0.10%"
"Sep 12, 2008","7.7981","7.7976","7.7995","7.7944","0.00%"
"Sep 11, 2008","7.7981","7.7980","7.8004","7.7963","-0.01%"
"Sep 10, 2008","7.7986","7.8009","7.8015","7.7967","-0.03%"
"Sep 09, 2008","7.8010","7.7999","7.8028","7.7950","0.01%"
"Sep 08, 2008","7.8003","7.8057","7.8078","7.7995","-0.08%"
"Sep 05, 2008","7.8065","7.8068","7.8104","7.8049","-0.01%"
"Sep 04, 2008","7.8074","7.8075","7.8090","7.8050","-0.02%"
"Sep 03, 2008","7.8088","7.8070","7.8100","7.8058","0.01%"
"Sep 02, 2008","7.8081","7.8052","7.8088","7.8037","0.03%"
"Sep 01, 2008","7.8057","7.8046","7.8069","7.8023","0.00%"
"Aug 29, 2008","7.8057","7.8059","7.8100","7.7982","-0.01%"
"Aug 28, 2008","7.8065","7.8073","7.8092","7.8055","-0.01%"
"Aug 27, 2008","7.8074","7.8064","7.8092","7.8057","0.01%"
"Aug 26, 2008","7.8070","7.8072","7.8087","7.8060","-0.01%"
"Aug 25, 2008","7.8078","7.8057","7.8104","7.8043","0.03%"
"Aug 22, 2008","7.8057","7.8060","7.8082","7.8049","-0.01%"
"Aug 21, 2008","7.8065","7.8090","7.8115","7.8047","-0.06%"
"Aug 20, 2008","7.8114","7.8101","7.8123","7.8071","0.01%"
"Aug 19, 2008","7.8107","7.8116","7.8135","7.8100","-0.02%"
"Aug 18, 2008","7.8121","7.8134","7.8144","7.8113","-0.01%"
"Aug 15, 2008","7.8125","7.8097","7.8158","7.8086","0.03%"
"Aug 14, 2008","7.8103","7.8075","7.8118","7.8063","0.03%"
"Aug 13, 2008","7.8080","7.8080","7.8094","7.8038","-0.01%"
"Aug 12, 2008","7.8089","7.8087","7.8111","7.8064","-0.01%"
"Aug 11, 2008","7.8095","7.8097","7.8141","7.8078","-0.01%"
"Aug 08, 2008","7.8105","7.8038","7.8158","7.8025","0.08%"
"Aug 07, 2008","7.8039","7.8040","7.8066","7.8028","-0.01%"
"Aug 06, 2008","7.8045","7.8033","7.8061","7.8024","0.01%"
"Aug 05, 2008","7.8038","7.8034","7.8055","7.8021","-0.00%"
"Aug 04, 2008","7.8039","7.8035","7.8052","7.8022","-0.01%"
"Aug 01, 2008","7.8049","7.8012","7.8050","7.7999","0.04%"
"Jul 31, 2008","7.8019","7.8017","7.8039","7.8006","-0.01%"
"Jul 30, 2008","7.8026","7.8022","7.8047","7.8004","-0.00%"
